Blog	conversation	report	community	thought	took	tech	since	including	him	major	american	yes	weinstein	real	continue	year	minutes	head	together	myself	never	means	words	us	me	espn	policy	no	reality	did	live	russian	entire	oh	truth	original	deal	star	sex	public	key	clear	meet	love	official	recently	stop	days	true	don	friends	twitter	started	big	making	help	site	tv	coming	according	saw	same	web	hope	worked	times	quickly	important	wasn	learning	name	her	happened	company	jemele	way	add	read	care	human	won	ads	most	open	black	rather	someone	drive	m	three	especially	update	lives	stuff	simple	nice	building	while	browser	content	lot	didn	later	store	less	campaign	business	d	couple	steve	friday	photos	obama	away	again	save	x	saying	instead	state	into	next	wrote	than	computer	america	cool	trailer	likely	something	during	following	works	course	p	remember	much	available	players	high	done	private	around	work	ago	back	use	project	video	mr	harvey	music	future	best	stories	attention	comes	build	room	answer	bad	include	k	blog	check	rule	election	national	interview	car	may	online	must	ideas	trying	million	itself	start	happens	went	health	seems	top	its	youtube	very	wrong	las	john	taken	living	early	b	san	gave	see	per	anyone	told	results	women	power	keep	mind	level	successful	exactly	news	spend	stand	search	art	war	com	doesn	director	interesting	bit	press	paper	right	watch	doing	weeks	announced	u	posts	everything	need	please	short	down	version	playing	administration	feature	over	hour	fact	even	face	free	morning	turn	day	make	left	each	group	personal	follow	wanted	still	second	donald	across	looks	question	writing	gets	home	take	easy	job	talking	does	city	world	also	smart	set	plans	country	small	mean	pick	book	dead	both	taking	kind	notes	made	ad	then	often	needs	network	came	maybe	hill	possible	buy	understand	digital	good	little	place	iphone	hit	james	social	create	enough	he	change	say	woman	house	says	everyone	want	yet	five	probably	president	users	police	game	space	feel	come	know	example	created	united	ll	person	would	recent	meeting	reading	become	hear	another	which	movie	really	control	these	give	actually	user	such	soon	special	cnn	too	late	before	thousands	reasons	source	piece	put	line	well	pretty	week	man	go	quite	gun	seen	lots	white	used	few	found	trump	york	any	vegas	two	night	knew	because	without	post	information	great	blogging	links	today	shows	videos	share	story	why	needed	takes	website	learn	look	based	show	amp	able	ways	money	apple	security	camera	only	other	try	tools	play	hollywood	should	were	death	app	past	large	being	once	side	list	though	else	family	bring	had	posted	sometimes	goes	page	part	life	month	fun	running	finally	full	phone	nbsp	let	several	weekend	october	always	quick	half	tips	call	cars	study	called	things	longer	email	amazon	through	americans	matter	better	event	whether	plan	least	where	ai	government	center	market	already	box	finding	age	facebook	article	haven	whole	via	different	figure	under	stay	media	four	support	political	readers	mdash	guy	process	his	years	products	might	ios	ever	old	order	books	thing	single	companies	along	machine	shot	idea	almost	end	tell	hands	said	talk	team	technology	point	close	having	worst	anything	film	mark	system	asked	sure	service	internet	case	product	number	success	them	text	run	against	sunday	could	thanks	those	appeared	months	problem	data	perhaps	google	far	focus	favorite	o	popular	reason	getting	between	photo	access	others	self	series	going	until	th	hours	own	design	related	off	find	got	view	action	isn	many	she	am	write	office	looking	young	using	sexual	long	monday	co	shooting	hard	think	every	deep	program	makes	latest	nothing	working	states
ShoeMoney	0	0	0	1	1	1	1	0	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	5	0	1	3	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	2	1	4	0	0	3	0	6	0	3	2	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	5	2	1	0	0	0	2	6	0	0	1	1	0	5	0	0	0	0	2	1	0	1	0	0	5	1	0	0	3	1	0	5	1	0	0	0	0	0	5	3	0	0	0	1	0	3	1	0	6	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	2	0	0	3	4	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	1	7	0	3	0	0	0	3	1	0	0	1	3	1	0	0	5	0	0	1	1	1	0	0	0	1	0	4	0	0	0	5	3	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	4	1	3	0	0	0	0	1	3	0	1	0	0	0	0	0	1	0	0	3	0	2	0	1	0	8	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	0	8	3	0	2	2	1	1	2	0	0	0	0	0	0	0	2	1	4	0	0	4	0	4	0	1	0	2	1	5	3	0	0	1	0	3	5	1	5	0	2	0	1	0	2	11	1	0	8	0	1	0	2	0	2	1	1	1	2	0	1	0	4	0	0	2	0	0	0	2	0	3	1	6	2	1	0	0	2	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	2	2	1	3	2	2	0	6	0	0	0	0	9	1	2	7	5	4	0	2	0	0	2	10	0	2	0	4	1	0	0	0	0	3	3	0	0	0	0	1	1	0	1	0	0	1	0	1	0	2	1	1	0	2	2	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	3	0	0	1	0	2	2	0	1	2	0	0	1	3	0	0	2	6	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	2	2	0	2	0	2	0	0	0	3	1	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	10	0	0	0	1	2	1	1	0	0	6	1	1	0	0	1	1	0	5	1	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	1	3	2	0	1	0	1	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	1	7	2	0	0	2	1	0	0	0
Joho the Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	1	0	0	0	3	3	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	2	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	1	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kotaku	0	0	1	0	0	0	2	1	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	2	0	2	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	2	0	21	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	3	2	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	0	1	0	0	0	6	0	0	0	1	1	0	0	0	1	0	0	1	0	0	7	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	2	1	0	0	1	0	1	0	0	0	3	0	0	0	3	0	1	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	6	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	4	2	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	2	3	0	0	1	1	0	2	0	1	0	0	1	1	0	4	1	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	5	0	1	2	0	0	0	0	2	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	3	2	0	0	0	0	2	2	0	0	0	0	0	3	2	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0
456 Berea Street	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	2	2	0	0	1	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	1	1	10	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	1	1	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	1	0	2	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	9	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	2	0	0	0	2	7	0	1	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	0	1	0	0	0	0	0	3	0	1	4	0	0	0	0	4	0	0	3	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	2	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	3	0	1	1	1	0	0	0	0	0	2	0	2	0	0	1	0	0	0	4	0	0	0	1	1	0	1	1	0	2	0	1	0	0	3	0	1	0	0	1	1	4	0	1	0	1	0	0	0	1	0	2	0	0	0	0	6	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	12	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	2	5	0	0	0	1	0	1	0	0	3	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	1	0	1	0	0	0	3	4	0	0	0	0	0	0	3	0	1	0	0	0	0	3	2	0	0	0	0	0	1	0
ongoing by Tim Bray	0	0	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	1	0	5	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	3	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	3	0	1	1	1	0	0	0	3	5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	4	0	0	0	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	4	2	0	1	0	2	0	1	3	1	0	0	2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0	4	0	0	0	0	2	2	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	3	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	4	2	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0
Boing Boing	0	0	0	1	1	0	3	3	1	0	0	0	0	3	1	1	2	1	0	0	2	2	1	6	7	0	0	5	2	4	1	0	1	1	0	2	2	2	0	1	1	3	0	0	4	1	0	1	0	2	0	3	1	3	2	4	0	0	0	2	1	2	0	0	0	1	2	1	2	4	0	7	0	1	0	3	0	0	1	0	3	0	3	1	3	3	0	0	2	0	0	0	0	0	0	1	0	3	0	1	1	4	0	3	2	0	3	5	2	0	0	3	0	2	1	0	0	0	0	0	6	1	0	7	3	4	3	1	0	1	2	0	1	0	1	1	3	2	7	1	1	0	2	2	1	4	3	0	5	2	0	1	3	1	0	3	0	0	1	0	0	0	4	0	0	0	0	7	2	0	2	1	1	0	1	1	1	2	0	0	2	0	2	1	2	4	1	1	0	0	2	2	1	4	0	3	0	0	1	0	1	0	1	1	0	0	0	0	0	3	0	1	1	4	1	1	1	0	4	1	8	4	1	0	0	0	0	5	3	0	1	1	1	0	1	0	4	0	1	5	0	2	1	0	2	7	4	0	1	0	0	0	4	0	1	2	1	0	0	0	2	6	5	2	0	2	0	3	5	2	4	1	2	1	1	0	1	2	2	0	1	1	5	0	3	0	1	0	1	1	0	2	1	1	0	7	1	0	0	3	0	2	0	2	11	0	1	0	3	0	3	2	2	1	0	7	0	3	7	0	0	3	4	0	1	3	3	0	4	0	1	0	0	1	2	4	1	2	1	9	1	1	2	0	1	0	2	2	0	1	0	0	0	1	1	3	4	2	1	0	5	1	0	3	0	4	1	2	3	14	2	4	1	6	1	0	2	2	0	0	4	0	0	4	1	0	1	1	1	0	2	0	0	5	0	1	1	0	0	2	0	1	1	4	3	1	0	3	0	3	12	0	6	2	0	0	5	0	1	0	1	0	0	7	0	0	0	1	0	0	0	6	0	0	1	1	2	0	0	1	1	1	1	1	0	0	0	0	1	5	0	1	1	3	2	1	0	3	0	1	3	2	2	0	1	0	1	0	0	1	1	0	0	2	6	1	0	0	1	2	0	0	1	0	0	0	2	5	4	0	2	0	5	3	2	2	2	0	0	1	1	0	0	2	2	0	1	5	0	1	0	1	0	4	0	0	0	1	2	1	3	2	0	0	0	0	2	6	0	1	1	0	1	2	1	0	0	0	0	0	1	0	0	1	1	0	0	4	2	0	1	0	3	0	5	1	0	0	2	0	0	4	1	2	0	0	0	5	9	0	0	2	3	0	1	0	2	0	5	0	1	1	0	0	2	3	0	0	0	3
TMZ.com	0	0	0	0	3	1	0	1	2	0	2	1	5	0	0	1	1	0	0	0	0	0	1	1	3	6	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	16	1	0	6	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	2	0	2	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	4	0	0	0	0	5	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	8	0	0	0	0	0	2	1	0	0	0	1	0	0	12	0	2	3	0	7	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	11	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	3	0	0	0	0	12	1	0	0	0	0	0	2	0	2	0	0	0	2	0	1	0	0	0	0	0	0
Lifehacker	0	0	0	0	0	0	1	1	1	1	0	2	2	0	0	2	0	0	1	0	1	1	1	3	1	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	3	0	2	1	3	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	2	2	2	25	0	0	0	0	3	0	3	0	0	0	2	0	1	1	0	0	0	1	0	0	3	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	5	1	1	2	0	1	0	0	4	1	0	2	1	0	1	2	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	1	0	2	3	0	0	2	0	0	0	0	0	0	0	3	0	1	0	1	0	4	0	1	0	0	0	0	3	0	0	0	0	2	0	1	0	3	1	0	0	1	0	3	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	5	1	1	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	0	1	0	0	2	3	0	2	0	4	1	0	0	0	0	0	0	0	1	1	1	1	0	2	0	2	1	0	4	1	1	0	0	1	0	7	0	1	2	1	1	0	0	3	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	2	0	0	0	1	0	2	1	0	2	1	5	0	0	3	0	0	0	2	0	5	1	0	6	2	0	3	0	0	1	2	0	1	0	1	0	4	1	0	1	0	0	1	1	0	2	3	0	1	0	1	1	3	0	0	0	0	0	0	0	1	0	0	5	3	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	3	2	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	2	1	1	0	0	1	0	2	0	0	0	1	2	1	2	1	1	0	0	0	0	1	1	0	0	0	1	0	0	3	2	0	0	0	0	3	0	0	0	0	0	0	1	2	1	2	0	0	1	1	3	0	1	0	1	0	0	0
RSS feed – Search Engine Watch	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	5	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIL WHEATON dot NET	0	0	1	4	2	0	4	0	3	1	0	2	0	4	0	0	0	3	4	2	7	0	4	2	32	0	0	2	0	5	1	0	0	1	0	0	1	4	0	1	0	0	2	7	0	1	0	4	0	4	5	2	0	3	2	1	0	1	0	2	3	1	0	0	2	1	0	2	2	0	1	1	1	0	0	5	1	5	0	1	5	0	2	1	0	0	4	1	22	0	1	0	1	5	0	3	0	3	0	0	7	4	3	0	1	2	1	7	3	3	2	0	0	3	2	0	0	0	1	0	14	4	2	10	0	0	5	0	0	3	0	0	0	0	0	4	6	0	2	1	2	0	2	9	1	6	1	2	0	0	0	2	2	2	2	1	1	3	2	0	2	0	13	1	0	2	0	0	0	1	1	1	1	1	1	0	1	3	0	3	0	1	1	3	3	4	1	0	1	0	1	3	0	0	3	4	1	1	2	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	2	2	7	1	0	0	1	2	2	0	4	3	0	5	0	0	4	0	0	9	2	0	1	1	2	7	2	3	1	0	1	5	9	0	0	0	3	1	5	0	0	3	0	2	1	0	0	4	2	0	5	0	0	3	2	1	5	0	0	0	2	2	7	0	6	0	0	2	0	5	0	0	1	1	0	8	3	3	0	1	0	0	0	1	9	0	5	0	1	1	1	18	3	3	1	0	0	0	13	8	3	2	15	0	1	0	6	2	14	0	0	4	0	0	0	4	2	7	0	6	1	2	0	0	0	0	0	2	2	2	0	2	0	0	3	0	3	1	5	0	5	0	0	1	0	0	0	4	0	0	0	6	1	3	1	4	17	1	0	2	4	0	0	7	0	3	2	12	5	2	0	0	0	4	0	8	3	0	0	0	0	0	0	2	7	1	0	9	1	5	11	1	0	0	0	6	1	0	0	2	2	0	0	13	1	0	0	2	2	5	0	6	0	1	1	1	2	2	1	1	0	4	0	0	0	1	0	0	2	10	1	0	1	0	0	0	2	0	0	0	4	6	0	0	1	0	2	3	2	1	0	0	3	0	0	1	2	0	0	0	3	3	0	0	0	6	0	9	6	0	0	0	3	2	0	2	8	2	0	0	0	0	5	1	2	0	0	9	0	1	0	4	1	0	0	2	1	0	0	2	2	0	0	1	0	0	0	20	0	0	0	0	0	2	3	0	0	1	0	0	0	0	1	2	0	0	0	4	0	0	0	1	2	2	8	2	1	2	4	0	0	3	0	8	0	0	3	3	0	7	3	1	1	0	2	0	7	0	0	0	1	4	1	0	0	2	0	2	3	0
